bit_index,mac_auroc_all,mac_auroc_novel,axis2_ood_auroc,mac_bit_prevalence
104,0.7457876576480145,0.694794860685242,0.3131843321260416,0.15458627325208468
105,0.6482898469184424,0.4975274849058304,0.8302563990603813,0.22706863373957664
106,0.8984771105661977,0.8552960800667223,0.9214298174506468,0.04682488774855677
107,0.7290177047261377,0.49442586399108135,0.796498672723229,0.09300833867864015
108,0.5811884352206933,0.46464449076486597,0.7083766459800129,0.12508017960230916
109,0.7690181058495821,0.6463941605839416,0.7899031265132725,0.7697241821680565
110,0.7218945720250523,0.6689382395545272,0.8578970926678795,0.6927517639512508
111,0.7883861230666591,0.6527573722321335,0.7454978393509962,0.1141757536882617
112,0.7324913684757955,0.6702513017885442,0.7813328189853193,0.2187299550994227
113,0.7862438912307679,0.7302328890575346,0.7297046120493713,0.10391276459268763
114,0.7488667387282694,0.6695430215059908,0.805657358561803,0.2604233483001924
115,0.6475914615587526,0.4826529281335594,0.7877134418928067,0.14175753688261705
116,0.7586453943690423,0.6467445255474454,0.7929853106398439,0.7735728030788968
117,0.6876655315928868,0.6407455180321033,0.8220644791774074,0.43489416292495187
118,0.6092406192266038,0.5327401987278094,0.6849483712702921,0.08466966003848621
119,0.6501504294518221,0.5564435564435565,0.6734550717053083,0.18794098781270044
120,0.7136222851746932,0.6946942204301076,0.8612785621640462,0.3207184092366902
121,0.6387299637299637,0.5454167564738122,0.8192053442905645,0.16933932007697242
122,0.6824565607222359,0.6319369779174593,0.7567514277292603,0.8005131494547787
123,0.7978656403079076,0.7305859596150216,0.7905862683420672,0.08338678640153944
124,0.7812421367162927,0.7220682740435476,0.671546034617505,0.19499679281590762
125,0.6969753547423451,0.6553739980078737,0.7786997512357309,0.14111610006414368
126,0.6875851756511205,0.6137479541734862,0.8152990308978156,0.2668377164849262
127,0.6077551383914656,0.4730018053504021,0.8230532112885628,0.15266196279666452
128,0.756223418945043,0.7252948201224063,0.8400215626910454,0.18216805644644002
129,0.8503964576253733,0.6210585585585586,0.8210534626392939,0.04169339320076972
130,0.7092338026296842,0.6199584663440085,0.6923242870138514,0.8184733803720333
131,0.5938628221027973,0.5089142536797778,0.7636838436379456,0.39448364336112896
132,0.7034713554942253,0.6401055085265612,0.7669204936312412,0.10455420141116101
133,0.8884105532919117,0.8359942809484094,0.9173412140029754,0.04682488774855677
134,0.7307593536407095,0.6548993288590604,0.7710425986897332,0.09172546504169339
135,0.7336369101292455,0.6717028453770837,0.7701061955462464,0.7113534316869788
136,0.725536047828319,0.7117237864527488,0.6206092572931498,0.3450930083386786
137,0.5901659817903473,0.5486242805336528,0.8188892013688924,0.11545862732520847
138,0.6474925797674993,0.4867124332570557,0.6822509498546199,0.8005131494547787
139,0.7261219484409658,0.6569535692954893,0.9242588322272458,0.43361128928800513
140,0.7749202986869907,0.6792084147507589,0.8206666549776741,0.19114817190506736
141,0.8164145477953009,0.7371335399715873,0.9062609046337492,0.7665169980756895
142,0.7043889646005789,0.6397181932765206,0.8101043519919988,0.2668377164849262
143,0.6884197815507417,0.6347435897435897,0.6852966826047493,0.12957023733162285
144,0.7884886126381521,0.7126349527665317,0.7586703766791767,0.0949326491340603
145,0.7362874330399,0.6414609511927041,0.8948264384834912,0.796023091725465
146,0.687428548506789,0.6502837876539354,0.8164594434693533,0.4381013470173188
